RequestDate,RequestTimestamp,nothing0,nothing777,nothingDD,nothingDD2,nothingSomething,nothingNothing,id0,name,symbol,slug,numMarketPairs,dateAdded,tags,tags2,tags3,tags4,tags5,tags6,tags7,tags8,tags9,tags10,tags11,tags12,tags13,tags14,tags15,tags16,tags17,tags18,tags19,tags20,tags21,tags22,tags23,tags24,tags25,tags26,tags27,tags28,tags29,maxSupply,circulatingSupply,totalSupply,nothing2,id,name2,symbol2,slug2,hashUnk,RandomHash,rowId,lastUpdated, price ,volume24h,percentChange1h,percentChange24h,percentChange7Days,percentChange30Days,percentChange60Days,percentChange90Days,marketCap,lastUpdated1,marketCapDividedByPrice,totalSupplyDividedbyMarketCap,marketCapDividedbyTotalSupply,previousMarketCap,latestMarketCapVSprevious
6/28/2021,2021-06-29T00:01:35.588Z,0,,21,1,,5483,1,Bitcoin,BTC,bitcoin,9213,2013-04-28T00:00:00.000Z,mineable,pow,sha-256,store-of-value,state-channels,coinbase-ventures-portfolio,three-arrows-capital-portfolio,polychain-capital-portfolio,binance-labs-portfolio,arrington-xrp-capital,blockchain-capital-portfolio,boostvc-portfolio,cms-holdings-portfolio,dcg-portfolio,dragonfly-capital-portfolio,electric-capital-portfolio,fabric-ventures-portfolio,framework-ventures,galaxy-digital-portfolio,huobi-capital,alameda-research-portfolio,a16z-portfolio,1confirmation-portfolio,winklevoss-capital,usv-portfolio,placeholder-ventures-portfolio,pantera-capital-portfolio,multicoin-capital-portfolio,paradigm-xzy-screener,21000000,18744162,18744162,,,,,,,,1,2021-06-29T00:01:02.000Z,"$34,528.57 ","$33,647,122,730.04 ",41.62%,-28.82%,904.54%,-21.83%,-3552.35%,-4144.62%,"$647,209,140,834.94 ",2021-06-29T00:01:02.000Z,"18,744,162.00",0,"34,528.57","$647,209,140,834.94 ",$0.00 
6/28/2021,,,,,,,,1027,Ethereum,ETH,ethereum,6010,2015-08-07T00:00:00.000Z,mineable,pow,smart-contracts,ethereum,coinbase-ventures-portfolio,three-arrows-capital-portfolio,polychain-capital-portfolio,binance-labs-portfolio,arrington-xrp-capital,blockchain-capital-portfolio,boostvc-portfolio,cms-holdings-portfolio,dcg-portfolio,dragonfly-capital-portfolio,electric-capital-portfolio,fabric-ventures-portfolio,framework-ventures,hashkey-capital-portfolio,kinetic-capital,huobi-capital,alameda-research-portfolio,a16z-portfolio,1confirmation-portfolio,winklevoss-capital,usv-portfolio,placeholder-ventures-portfolio,pantera-capital-portfolio,multicoin-capital-portfolio,paradigm-xzy-screener,,116480434.1,116480434.1,,,,,,,,2,2021-06-29T00:01:02.000Z,"$2,086.21 ","$25,328,531,438.98 ",-22.36%,558.23%,1039.17%,-851.30%,-2436.90%,1299.06%,"$243,002,609,138.43 ",2021-06-29T00:01:02.000Z,"116,480,434.12",0,"2,086.21","$243,002,609,138.43 ",$0.00 
6/28/2021,,,,,,,,825,Tether,USDT,tether,13770,2015-02-25T00:00:00.000Z,payments,stablecoin,stablecoin-asset-backed,solana-ecosystem,,,,,,,,,,,,,,,,,,,,,,,,,,,62534142511,64471767617,,1027,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,,3,2021-06-29T00:00:19.000Z,$1.00 ,"$56,773,018,061.80 ",-1.03%,-7.37%,-1.27%,-4.40%,-1.20%,-8.54%,"$62,531,074,913.25 ",2021-06-29T00:00:19.000Z,"62,534,142,511.11",1.03,0.97,"$62,531,074,913.25 ",$0.00 
6/28/2021,,,,,,,,1839,Binance Coin,BNB,binance-coin,570,2017-07-25T00:00:00.000Z,marketplace,centralized-exchange,payments,binance-smart-chain,alameda-research-portfolio,multicoin-capital-portfolio,,,,,,,,,,,,,,,,,,,,,,,,170532785,153432897,169432897,,,,,,,,4,2021-06-29T00:00:11.000Z,$289.92 ,"$1,722,973,081.98 ",3.07%,-30.93%,656.99%,-497.19%,-5155.68%,-694.34%,"$44,483,132,008.62 ",2021-06-29T00:00:11.000Z,"153,432,897.00",0,262.54,"$44,483,132,008.62 ",$0.00 
6/28/2021,,,,,,,,2010,Cardano,ADA,cardano,267,2017-10-01T00:00:00.000Z,mineable,dpos,pos,platform,research,smart-contracts,staking,binance-chain,,,,,,,,,,,,,,,,,,,,,,45000000000,31946328269,32704886184,,,,,,,,5,2021-06-29T00:00:20.000Z,$1.33 ,"$2,291,709,322.57 ",46.58%,-86.76%,1257.29%,-553.71%,154.67%,923.92%,"$42,345,261,236.16 ",2021-06-29T00:00:20.000Z,"31,946,328,269.46",0.77,1.29,"$42,345,261,236.16 ",$0.00 
6/28/2021,,,,,,,,74,Dogecoin,DOGE,dogecoin,368,2013-12-15T00:00:00.000Z,mineable,pow,scrypt,medium-of-exchange,memes,payments,doggone-doggerel,,,,,,,,,,,,,,,,,,,,,,,,1.30215E+11,1.30215E+11,,,,,,,,6,2021-06-29T00:01:03.000Z,$0.26 ,"$1,915,176,953.60 ",47.65%,-270.92%,4316.87%,-1492.90%,-1589.29%,37819.97%,"$33,476,755,772.78 ",2021-06-29T00:01:03.000Z,"130,214,617,895.40",3.89,0.26,"$33,476,755,772.78 ",$0.00 
6/28/2021,,,,,,,,52,XRP,XRP,xrp,641,2013-08-04T00:00:00.000Z,medium-of-exchange,enterprise-solutions,binance-chain,arrington-xrp-capital,galaxy-digital-portfolio,a16z-portfolio,pantera-capital-portfolio,,,,,,,,,,,,,,,,,,,,,,,1E+11,46244517593,99990365206,,,,,,,,7,2021-06-29T00:01:03.000Z,$0.65 ,"$2,321,635,521.93 ",21.32%,-49.57%,581.46%,-2225.41%,-5390.94%,1392.90%,"$29,837,196,419.97 ",2021-06-29T00:01:03.000Z,"46,244,517,593.00",3.35,0.3,"$29,837,196,419.97 ",$0.00 
6/28/2021,,,,,,,,3408,USD Coin,USDC,usd-coin,948,2018-10-08T00:00:00.000Z,medium-of-exchange,stablecoin,stablecoin-asset-backed,,,,,,,,,,,,,,,,,,,,,,,,,,,,25461239372,25461239372,,1027,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,8,2021-06-29T00:01:06.000Z,$1.00 ,"$2,277,509,890.68 ",-1.02%,-7.80%,-4.77%,-0.20%,-0.42%,-7.15%,"$25,456,522,072.81 ",2021-06-29T00:01:06.000Z,"25,461,239,372.07",1,1,"$25,456,522,072.81 ",$0.00 
6/28/2021,,,,,,,,6636,Polkadot,DOT,polkadot-new,202,2020-08-19T00:00:00.000Z,substrate,polkadot,binance-chain,polkadot-ecosystem,three-arrows-capital-portfolio,polychain-capital-portfolio,blockchain-capital-portfolio,boostvc-portfolio,cms-holdings-portfolio,coinfund-portfolio,fabric-ventures-portfolio,fenbushi-capital-portfolio,hashkey-capital-portfolio,kinetic-capital,1confirmation-portfolio,placeholder-ventures-portfolio,pantera-capital-portfolio,exnetwork-capital-portfolio,,,,,,,,,,,,,955852179.8,1086576336,,,,,,,,9,2021-06-29T00:01:06.000Z,$15.84 ,"$1,107,993,441.96 ",29.40%,540.48%,38.39%,-2022.25%,-5596.84%,-5353.37%,"$15,135,957,191.70 ",2021-06-29T00:01:06.000Z,"955,852,179.83",0.07,13.93,"$15,135,957,191.70 ",$0.00 
6/28/2021,,,,,,,,7083,Uniswap,UNI,uniswap,256,2020-09-17T00:00:00.000Z,decentralized-exchange,defi,dao,yield-farming,amm,coinbase-ventures-portfolio,three-arrows-capital-portfolio,governance,blockchain-capital-portfolio,defiance-capital,alameda-research-portfolio,a16z-portfolio,pantera-capital-portfolio,parafi-capital,paradigm-xzy-screener,,,,,,,,,,,,,,,1000000000,575231624.7,1000000000,,1027,Ethereum,ETH,ethereum,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,,10,2021-06-29T00:00:17.000Z,$17.74 ,"$306,859,281.03 ",15.98%,373.79%,1192.28%,-2347.95%,-5680.01%,-3782.65%,"$10,201,876,325.97 ",2021-06-29T00:00:17.000Z,"575,231,624.67",0.1,10.2,"$10,201,876,325.97 ",$0.00 
